Iteration = 2000: alpha: 0.01, Learning Rate = optimal, eta0 = 0.01, Training MSE = 0.5523
Iteration = 500: alpha: 0.01, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.5523
Iteration = 1000: alpha: 0.01, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.5523
Iteration = 2000: alpha: 0.01, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.5523
Iteration = 500: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 1000: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 2000: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 500: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5439
Iteration = 1000: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5439
Iteration = 2000: alpha: 0.01, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5439
Best parameters (Learning rate, Iterations): {'alpha': 0.0001, 'learning_rate': 'adaptive', 'eta0': 0.01, 'max_iter': 500}
Train MSE: 0.5427, Test MSE: 0.5097
Explained variance: 0.3213, Bias: 5.7872, R^2: 0.3205
Weights: [ 0.0743224  -0.1925495   0.02211341  0.16721579 -0.02562908  0.12492398
 -0.15111438 -0.17186991  0.08507857  0.12545151  0.31213117]
